epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2204.62,1.31245,0.5887,0.94391,0.91971,0.97222,0.96217,0.46261,1.75582,0.65297,1.04604,0.0006239,0.0006239,0.0006239
141,2220.03,1.34748,0.60477,0.93615,0.9251,0.95833,0.95762,0.45276,1.76582,0.65292,1.05164,0.000614,0.000614,0.000614
142,2235.53,1.35,0.60476,0.93252,0.92878,0.95833,0.95813,0.44989,1.74587,0.65273,1.05135,0.0006041,0.0006041,0.0006041
143,2250.92,1.32569,0.57917,0.95018,0.92001,0.94444,0.95629,0.45122,1.72931,0.67147,1.04491,0.0005942,0.0005942,0.0005942
144,2266.34,1.33221,0.5996,0.95337,0.91785,0.95833,0.95481,0.45635,1.73765,0.67147,1.04845,0.0005843,0.0005843,0.0005843
145,2281.76,1.29872,0.6195,0.92275,0.92698,0.94444,0.95775,0.4461,1.74159,0.66954,1.05184,0.0005744,0.0005744,0.0005744
146,2297.17,1.30045,0.58608,0.91686,0.93149,0.94444,0.95873,0.45705,1.74701,0.66111,1.05271,0.0005645,0.0005645,0.0005645
147,2312.62,1.31332,0.61577,0.94322,0.91956,0.95274,0.9563,0.44708,1.75917,0.66098,1.05368,0.0005546,0.0005546,0.0005546
148,2328.06,1.35072,0.58994,0.96093,0.9036,0.91138,0.92376,0.426,1.79514,0.67757,1.06063,0.0005447,0.0005447,0.0005447
149,2343.51,1.3081,0.59529,0.93983,0.93085,0.93484,0.96068,0.43555,1.77851,0.67008,1.05421,0.0005348,0.0005348,0.0005348
150,2359.06,1.30683,0.58584,0.94376,0.9442,0.94009,0.96177,0.43385,1.77664,0.65684,1.05033,0.0005249,0.0005249,0.0005249
151,2374.59,1.31114,0.57706,0.93775,0.94383,0.93358,0.96218,0.43238,1.77656,0.65169,1.04936,0.000515,0.000515,0.000515
152,2390.06,1.21657,0.57181,0.91267,0.91798,0.95833,0.96925,0.43607,1.8085,0.66873,1.05649,0.0005051,0.0005051,0.0005051
153,2405.62,1.27283,0.57514,0.93045,0.95537,0.89199,0.94666,0.43285,1.83358,0.6784,1.06237,0.0004952,0.0004952,0.0004952
154,2421,1.30408,0.58759,0.97169,0.95585,0.90209,0.94544,0.43065,1.84947,0.67323,1.06441,0.0004853,0.0004853,0.0004853
155,2436.45,1.30016,0.57019,0.94122,0.95693,0.92585,0.96733,0.44716,1.85413,0.66068,1.06805,0.0004754,0.0004754,0.0004754
156,2452,1.27109,0.58124,0.91809,0.9482,0.91667,0.97842,0.45832,1.80607,0.65953,1.06312,0.0004655,0.0004655,0.0004655
157,2467.4,1.26442,0.55799,0.92599,0.91993,0.9574,0.98006,0.45434,1.80555,0.65923,1.05844,0.0004556,0.0004556,0.0004556
158,2482.78,1.25483,0.5792,0.92798,0.95767,0.94265,0.97847,0.45248,1.79351,0.65875,1.05513,0.0004457,0.0004457,0.0004457
159,2498.14,1.25462,0.54444,0.94676,0.93013,0.97222,0.97395,0.46014,1.76128,0.66262,1.05348,0.0004358,0.0004358,0.0004358
160,2513.58,1.24833,0.561,0.9119,0.91985,0.95833,0.97047,0.44896,1.74956,0.65342,1.05817,0.0004259,0.0004259,0.0004259
161,2528.98,1.25919,0.54766,0.93389,0.93228,0.95604,0.97328,0.46133,1.72607,0.63943,1.0537,0.000416,0.000416,0.000416
162,2544.54,1.23681,0.55815,0.91234,0.94464,0.94804,0.97385,0.46525,1.73485,0.6476,1.04766,0.0004061,0.0004061,0.0004061
163,2560.11,1.25319,0.56326,0.91499,0.95787,0.94743,0.97619,0.46008,1.75316,0.65487,1.04571,0.0003962,0.0003962,0.0003962
164,2575.57,1.23567,0.56612,0.93031,0.95765,0.94233,0.96806,0.45754,1.75341,0.65385,1.0485,0.0003863,0.0003863,0.0003863
165,2591.04,1.27236,0.56758,0.93995,0.94424,0.95833,0.97906,0.45905,1.74172,0.64645,1.05039,0.0003764,0.0003764,0.0003764
166,2606.61,1.25409,0.55692,0.92488,0.94506,0.95559,0.97743,0.45643,1.74366,0.65175,1.05286,0.0003665,0.0003665,0.0003665
167,2622.05,1.27984,0.59055,0.91733,0.94417,0.93964,0.96117,0.457,1.74634,0.65465,1.05652,0.0003566,0.0003566,0.0003566
168,2637.51,1.2497,0.54274,0.90971,0.8977,0.95833,0.95089,0.44425,1.79225,0.65853,1.06818,0.0003467,0.0003467,0.0003467
169,2652.87,1.20947,0.55036,0.9109,0.89699,0.95833,0.94915,0.42622,1.83427,0.66007,1.07627,0.0003368,0.0003368,0.0003368
170,2668.37,1.21429,0.53754,0.91236,0.9075,0.95381,0.94807,0.4268,1.84636,0.6588,1.07893,0.0003269,0.0003269,0.0003269
171,2684.07,1.20301,0.55293,0.90139,0.91792,0.97222,0.95437,0.4323,1.82912,0.651,1.07682,0.000317,0.000317,0.000317
172,2699.67,1.19434,0.55084,0.90415,0.90539,0.93041,0.9251,0.4274,1.81471,0.65184,1.08214,0.0003071,0.0003071,0.0003071
173,2715.31,1.17921,0.52726,0.91682,0.85272,0.97222,0.92196,0.41989,1.81911,0.6613,1.08432,0.0002972,0.0002972,0.0002972
174,2730.79,1.20396,0.52958,0.92046,0.86542,0.98248,0.92465,0.41857,1.83848,0.67403,1.08549,0.0002873,0.0002873,0.0002873
175,2746.19,1.22197,0.53281,0.93484,0.8603,0.97222,0.92033,0.42478,1.87094,0.68408,1.0892,0.0002774,0.0002774,0.0002774
176,2761.77,1.1844,0.53389,0.91107,0.86156,0.97222,0.92967,0.42533,1.89278,0.68223,1.09623,0.0002675,0.0002675,0.0002675
177,2777.05,1.2006,0.52945,0.92111,0.86596,0.97222,0.93192,0.43161,1.86102,0.66871,1.08801,0.0002576,0.0002576,0.0002576
178,2792.37,1.10211,0.50696,0.90314,0.87561,0.97222,0.93827,0.44458,1.8264,0.65649,1.07979,0.0002477,0.0002477,0.0002477
179,2807.77,1.12044,0.50906,0.92631,0.89545,0.97222,0.94486,0.45768,1.80695,0.64719,1.07412,0.0002378,0.0002378,0.0002378
