epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,20062.9,1.00642,0.39396,0.98698,0.96832,0.97674,0.97954,0.62908,1.22291,0.44468,1.11513,0.0004358,0.0004358,0.0004358
160,20121,0.97658,0.40347,0.97316,0.95488,0.98443,0.97971,0.63364,1.26279,0.46565,1.12271,0.0004259,0.0004259,0.0004259
161,20179.2,0.96935,0.39549,0.9665,0.96132,0.9845,0.98147,0.62833,1.26918,0.46139,1.12467,0.000416,0.000416,0.000416
162,20237.4,0.97617,0.39288,0.9742,0.96208,0.98339,0.97918,0.61511,1.31698,0.47378,1.15119,0.0004061,0.0004061,0.0004061
163,20295.7,0.9964,0.39343,0.98874,0.9621,0.98389,0.97951,0.61997,1.28237,0.4651,1.13616,0.0003962,0.0003962,0.0003962
164,20353.8,0.96601,0.38763,0.96902,0.96942,0.98302,0.98075,0.61861,1.28913,0.46586,1.13474,0.0003863,0.0003863,0.0003863
165,20412,0.98935,0.39532,0.96496,0.97552,0.99225,0.99126,0.6211,1.26118,0.4541,1.12204,0.0003764,0.0003764,0.0003764
166,20469.8,0.95835,0.3975,0.94142,0.97689,0.98323,0.98119,0.61899,1.25637,0.46434,1.12253,0.0003665,0.0003665,0.0003665
167,20528.1,0.95804,0.38714,0.98046,0.96944,0.98376,0.97995,0.62401,1.25629,0.45382,1.12747,0.0003566,0.0003566,0.0003566
168,20586.1,0.94838,0.38703,0.95544,0.97647,0.99225,0.98961,0.62743,1.26473,0.45899,1.13538,0.0003467,0.0003467,0.0003467
169,20643.9,0.96523,0.39422,0.98008,0.97631,0.99225,0.99082,0.61144,1.27896,0.46053,1.14292,0.0003368,0.0003368,0.0003368
170,20701.6,0.98176,0.39376,0.96216,0.97641,0.99225,0.9931,0.61509,1.28564,0.45855,1.13584,0.0003269,0.0003269,0.0003269
171,20762.9,0.93633,0.38705,0.95921,0.97646,0.9845,0.98349,0.6133,1.31732,0.47155,1.1445,0.000317,0.000317,0.000317
172,20834.6,0.95023,0.38081,0.96122,0.9689,0.97674,0.9817,0.6246,1.26812,0.45279,1.13305,0.0003071,0.0003071,0.0003071
173,20894.6,0.93823,0.37502,0.9493,0.97689,0.98288,0.98391,0.62823,1.24961,0.45581,1.13238,0.0002972,0.0002972,0.0002972
174,20954.5,0.94293,0.37553,0.96105,0.97626,0.9845,0.99328,0.61004,1.28875,0.46024,1.1471,0.0002873,0.0002873,0.0002873
175,21014,0.96532,0.38674,0.9725,0.96842,0.97674,0.98361,0.61346,1.28961,0.45184,1.14544,0.0002774,0.0002774,0.0002774
176,21072.3,0.93546,0.37968,0.9533,0.97632,0.99225,0.99359,0.63404,1.28168,0.44465,1.14334,0.0002675,0.0002675,0.0002675
177,21132.3,0.9168,0.37469,0.94578,0.96943,0.98326,0.98108,0.62936,1.27835,0.45239,1.14022,0.0002576,0.0002576,0.0002576
178,21190.6,0.9291,0.376,0.96286,0.9846,0.99105,0.99336,0.62953,1.24235,0.44429,1.12682,0.0002477,0.0002477,0.0002477
